drug_name,manufacturer,approval_year,drug_class,indications,side_effects,dosage_mg,administration_route,contraindications,warnings,price_usd,batch_number,expiry_date,side_effect_severity,approval_status
Cefstatin97,Novartis AG,2000,Anti-inflammatory,Psychosis control,"Blurred vision, Rash",370,Sublingual,Diabetes,Use with caution in elderly,434.74,bC233JO,2025-11-22,Mild,Approved
Virazole36,Sanofi,2013,Antipyretic,Viral infections,"Headache, Dry mouth, Constipation",490,Sublingual,Heart disease,Take with food,478.97,mM949QD,2027-02-25,Moderate,Approved
Rivavir88,Roche Holding AG,1993,Antidepressant,Inflammation reduction,Dizziness,200,Intramuscular,Liver disease,Take with food,383.55,xb561Hn,2025-09-30,Mild,Pending
Viraparin98,Roche Holding AG,2009,Antipyretic,Inflammation reduction,"Constipation, Fatigue",620,Intravenous,Seizures,Do not discontinue abruptly,357.15,bb917Ce,2026-02-10,Severe,Pending
Daxocillin23,Johnson & Johnson,2016,Vaccine,Allergy relief,"Fatigue, Diarrhea, Rash",360,Oral,Liver disease,Use with caution in elderly,11.79,Ov310Iv,2027-12-02,Mild,Pending
Rivaprofen78,AstraZeneca,2016,Antihistamine,Allergy relief,"Fatigue, Dizziness, Constipation",450,Rectal,Liver disease,Monitor blood pressure,215.37,Xh137Yn,2028-06-21,Severe,Approved
Serovir30,GlaxoSmithKline,2011,Antipyretic,Bacterial infections,"Nausea, Rash, Blurred vision",350,Topical,Liver disease,May cause drowsiness,310.21,Fw257WN,2027-02-01,Severe,Pending
Serostatin20,AstraZeneca,2002,Antihistamine,Bacterial infections,"Constipation, Fatigue, Diarrhea",70,Rectal,Asthma,Monitor blood pressure,450.09,KQ675Cp,2025-12-08,Mild,Approved
Seroprofen18,GlaxoSmithKline,2008,Antifungal,Fungal infections,"Rash, Insomnia, Blurred vision",260,Intramuscular,Liver disease,May affect fertility,326.32,qn458mn,2026-05-02,Mild,Pending
Viradipine57,Bayer AG,1990,Analgesic,Fungal infections,"Dizziness, Blurred vision, Rash",30,Intramuscular,Asthma,Do not operate machinery,352.02,Ku073mQ,2025-11-28,Moderate,Approved
Cefvir57,Johnson & Johnson,2023,Antiviral,Fungal infections,"Rash, Nausea, Fatigue",440,Oral,Allergic reaction,May cause drowsiness,246.8,vf204VC,2028-03-11,Moderate,Rejected
Seroprofen98,Roche Holding AG,2024,Antiviral,Inflammation reduction,"Blurred vision, Dry mouth",930,Intramuscular,Allergic reaction,Monitor blood pressure,472.37,Bv046af,2027-09-29,Moderate,Rejected
Rivazole34,Sanofi,2019,Antibiotic,Fungal infections,"Dry mouth, Dizziness, Fatigue",510,Sublingual,Kidney impairment,Do not operate machinery,292.12,KW613si,2026-02-10,Mild,Pending
Fenoprofen71,Pfizer Inc.,2005,Antipsychotic,Psychosis control,"Fatigue, Diarrhea",420,Intramuscular,Allergic reaction,Avoid alcohol,329.34,Xo865Gq,2028-01-15,Moderate,Pending
Mecodipine29,Novartis AG,2012,Antidepressant,Inflammation reduction,"Blurred vision, Rash",210,Intramuscular,Bleeding disorders,Monitor blood pressure,45.65,WC570Kw,2028-04-01,Severe,Approved
Serozepam87,Roche Holding AG,2017,Antibiotic,Prevent infectious disease,"Blurred vision, Insomnia",520,Oral,Allergic reaction,May cause drowsiness,194.6,kZ445ay,2027-05-14,Moderate,Approved
Daxovir74,Sanofi,2005,Antipyretic,Bacterial infections,Dizziness,300,Intramuscular,Bleeding disorders,Do not discontinue abruptly,353.68,lL290gE,2027-09-06,Mild,Rejected
Cefcillin80,Bayer AG,2000,Vaccine,Bacterial infections,Fatigue,390,Intravenous,Diabetes,May affect fertility,325.5,Rp062PD,2025-11-07,Mild,Rejected
Zylovir64,GlaxoSmithKline,2008,Antiviral,Bacterial infections,"Dry mouth, Fatigue, Blurred vision",20,Topical,Pregnancy,Risk of addiction,333.46,RR246xi,2027-07-21,Mild,Rejected
Seroxetine38,Merck & Co.,2024,Analgesic,Prevent infectious disease,"Nausea, Dry mouth",450,Intravenous,Seizures,Do not operate machinery,415.63,pM739Fu,2027-06-01,Mild,Rejected
Amoxcillin71,Sanofi,2017,Antifungal,Psychosis control,"Insomnia, Blurred vision, Rash",70,Sublingual,Diabetes,May cause drowsiness,404.29,WI421OV,2027-10-17,Severe,Pending
Loxodipine99,Roche Holding AG,2019,Antidepressant,Viral infections,"Dizziness, Dry mouth, Nausea",800,Intramuscular,Kidney impairment,May cause drowsiness,265.29,Wd677gm,2025-08-17,Mild,Rejected
Loxomab63,GlaxoSmithKline,2010,Antifungal,Inflammation reduction,"Headache, Rash, Nausea",710,Intravenous,Heart disease,Do not discontinue abruptly,208.67,UD437wp,2026-02-09,Mild,Approved
Daxovir46,AstraZeneca,2004,Antipsychotic,Allergy relief,"Dry mouth, Constipation, Diarrhea",530,Inhalation,Diabetes,Avoid alcohol,330.14,Xv043qE,2025-11-22,Moderate,Rejected
Mecomab45,GlaxoSmithKline,1998,Analgesic,Allergy relief,"Blurred vision, Insomnia, Constipation",320,Oral,High blood pressure,Avoid alcohol,265.69,BH905Tr,2028-03-18,Mild,Rejected
Daxodipine13,Roche Holding AG,2014,Antihistamine,Viral infections,"Nausea, Dry mouth, Rash",280,Oral,Heart disease,Risk of addiction,218.74,ZN273nt,2027-03-23,Mild,Rejected
Amoxdipine25,Bayer AG,2010,Antifungal,Prevent infectious disease,"Dry mouth, Dizziness",930,Intravenous,Allergic reaction,Use with caution in elderly,31.58,hN266RU,2027-08-03,Moderate,Rejected
Serovir88,Johnson & Johnson,2013,Antiviral,Fungal infections,"Dry mouth, Rash",430,Intramuscular,Allergic reaction,Risk of addiction,222.4,YC121GU,2027-09-24,Moderate,Approved
Rivacillin97,AstraZeneca,2003,Antifungal,Fungal infections,"Rash, Nausea",450,Inhalation,Heart disease,Risk of addiction,454.03,Mp690gf,2026-12-18,Severe,Rejected
Viraxetine77,Bayer AG,2023,Vaccine,Viral infections,"Insomnia, Rash, Dizziness",620,Topical,Pregnancy,Avoid sunlight exposure,286.95,cF027fc,2028-04-01,Moderate,Pending
Fenozole89,AstraZeneca,2019,Antiviral,Pain relief,Blurred vision,670,Inhalation,Pregnancy,May cause drowsiness,133.78,DG067iD,2026-03-27,Moderate,Rejected
Rivazole49,Novartis AG,2009,Vaccine,Depression treatment,Constipation,700,Intramuscular,Kidney impairment,Risk of addiction,307.19,La275So,2026-05-23,Moderate,Approved
Daxostatin85,Novartis AG,2024,Anti-inflammatory,Bacterial infections,"Dry mouth, Blurred vision, Headache",780,Sublingual,Bleeding disorders,Avoid alcohol,35.4,lE951kM,2028-02-03,Mild,Approved
Daxoxetine38,Sanofi,2000,Analgesic,Pain relief,"Blurred vision, Constipation, Dry mouth",710,Rectal,Heart disease,Monitor blood pressure,13.85,uA455hx,2027-06-08,Severe,Approved
Amoxdipine23,GlaxoSmithKline,2003,Antifungal,Pain relief,"Dry mouth, Diarrhea, Constipation",510,Intravenous,Heart disease,May cause drowsiness,283.36,Ie910Ad,2027-04-28,Mild,Pending
Zyloparin24,AstraZeneca,2015,Antiviral,Depression treatment,"Dizziness, Insomnia",240,Topical,Pregnancy,May cause drowsiness,440.99,ed189sM,2027-03-04,Severe,Pending
Seroparin79,Novartis AG,1992,Antipsychotic,Fever reduction,"Dizziness, Insomnia, Headache",720,Rectal,Asthma,Avoid alcohol,398.71,Kv976RS,2028-02-05,Mild,Rejected
Viraxetine60,Merck & Co.,2023,Antipsychotic,Bacterial infections,"Blurred vision, Dry mouth, Rash",70,Inhalation,Bleeding disorders,Monitor blood pressure,179.93,OX866Kj,2026-11-06,Severe,Rejected
Daxostatin86,GlaxoSmithKline,2024,Antihistamine,Allergy relief,"Dizziness, Diarrhea, Insomnia",950,Inhalation,Asthma,May affect fertility,206.62,yW654lF,2027-05-28,Mild,Rejected
Mecodipine72,Merck & Co.,2019,Vaccine,Depression treatment,Rash,280,Sublingual,Diabetes,Take with food,470.58,Mc504yM,2027-03-31,Moderate,Approved
Cefmab95,Moderna Therapeutics,2004,Vaccine,Pain relief,Dry mouth,940,Rectal,Bleeding disorders,May cause drowsiness,82.89,KT815Ms,2026-10-12,Mild,Approved
Rivacillin96,Moderna Therapeutics,2008,Antihistamine,Pain relief,"Nausea, Dry mouth",930,Inhalation,Asthma,Do not discontinue abruptly,293.57,LE343Vq,2026-09-01,Severe,Rejected
Rivadipine34,Johnson & Johnson,2003,Antibiotic,Depression treatment,Headache,710,Sublingual,High blood pressure,Use with caution in elderly,116.12,dY695Hq,2026-01-25,Severe,Pending
Zylomab16,GlaxoSmithKline,1996,Antipyretic,Psychosis control,"Rash, Blurred vision, Dry mouth",560,Sublingual,Liver disease,May cause drowsiness,4.71,uc009We,2028-07-30,Moderate,Pending
Loxoparin23,Merck & Co.,2020,Antibiotic,Allergy relief,"Dizziness, Blurred vision, Dry mouth",740,Topical,Allergic reaction,May affect fertility,71.52,zW928gc,2025-12-11,Moderate,Pending
Fenodipine42,Sanofi,2024,Antibiotic,Prevent infectious disease,"Dizziness, Diarrhea",480,Intramuscular,Pregnancy,May cause drowsiness,480.99,KV514FN,2028-05-17,Moderate,Pending
Rivastatin59,GlaxoSmithKline,2018,Antidepressant,Fungal infections,Fatigue,350,Intramuscular,Asthma,Avoid sunlight exposure,295.6,AI960CA,2027-02-03,Mild,Approved
Fenocillin27,Moderna Therapeutics,2001,Vaccine,Fever reduction,"Nausea, Blurred vision",240,Intramuscular,Kidney impairment,Monitor blood pressure,50.92,dZ371pe,2027-08-20,Moderate,Rejected
Cefcillin64,AstraZeneca,2014,Antifungal,Fever reduction,"Nausea, Diarrhea",670,Sublingual,Allergic reaction,Monitor blood pressure,452.73,cL030kc,2027-11-02,Mild,Rejected
Viravir35,Bayer AG,2013,Antidepressant,Fungal infections,"Nausea, Rash",720,Oral,Diabetes,Take with food,433.95,yc433HD,2025-08-26,Moderate,Rejected
Daxostatin64,GlaxoSmithKline,1993,Vaccine,Viral infections,"Rash, Dry mouth",20,Topical,Kidney impairment,Avoid alcohol,482.36,FR541gv,2027-07-03,Mild,Rejected
Serodipine62,Bayer AG,2024,Antipsychotic,Viral infections,"Nausea, Dry mouth",460,Oral,Allergic reaction,Avoid sunlight exposure,96.45,SP857ez,2026-05-30,Moderate,Rejected
Seroxetine96,Novartis AG,2014,Antipyretic,Inflammation reduction,"Blurred vision, Insomnia",580,Oral,Asthma,May affect fertility,57.36,YP169rS,2027-03-14,Mild,Rejected
Daxoparin84,Pfizer Inc.,2017,Anti-inflammatory,Pain relief,"Headache, Constipation",500,Rectal,Seizures,May affect fertility,308.2,FV262IY,2027-07-21,Moderate,Pending
Zylozepam34,AstraZeneca,2013,Analgesic,Fungal infections,"Constipation, Blurred vision",850,Intramuscular,Diabetes,Do not discontinue abruptly,152.11,Ou912Dr,2025-10-03,Mild,Approved
Amoxdipine13,Roche Holding AG,2008,Antifungal,Allergy relief,"Dizziness, Insomnia",720,Topical,Heart disease,Take with food,220.31,Vr067oR,2025-11-11,Moderate,Approved
Rivamab32,Moderna Therapeutics,1991,Antifungal,Depression treatment,"Diarrhea, Insomnia, Dizziness",730,Inhalation,High blood pressure,May affect fertility,404.66,lt883sA,2027-04-30,Mild,Pending
Serocillin74,Moderna Therapeutics,2001,Antidepressant,Allergy relief,"Insomnia, Nausea, Dizziness",110,Intravenous,Heart disease,Avoid sunlight exposure,427.1,Ch392hP,2028-04-10,Severe,Rejected
Serozole62,Novartis AG,2010,Antifungal,Depression treatment,"Constipation, Blurred vision, Fatigue",110,Sublingual,Seizures,May affect fertility,63.05,tJ471Wm,2027-02-13,Severe,Pending
Cefcillin14,Bayer AG,1990,Antibiotic,Viral infections,"Nausea, Fatigue, Rash",80,Rectal,Bleeding disorders,Do not operate machinery,339.3,bX293vk,2028-05-13,Moderate,Rejected
Fenozepam50,Novartis AG,2008,Antidepressant,Allergy relief,Blurred vision,640,Oral,Asthma,Do not discontinue abruptly,37.87,tx831Jx,2026-01-24,Severe,Pending
Cefzepam45,Merck & Co.,1997,Vaccine,Allergy relief,Dry mouth,160,Intramuscular,Seizures,Use with caution in elderly,338.06,Xw981sk,2028-04-06,Moderate,Rejected
Viraxetine19,Sanofi,2016,Antipsychotic,Bacterial infections,"Nausea, Blurred vision, Diarrhea",530,Intravenous,Allergic reaction,Take with food,361.44,lU608YO,2028-05-25,Mild,Pending
Rivavir63,Bayer AG,1990,Anti-inflammatory,Pain relief,"Diarrhea, Headache, Nausea",640,Sublingual,Kidney impairment,Do not operate machinery,90.06,RY440Ps,2028-05-25,Mild,Approved
Mecodipine19,Roche Holding AG,2007,Antibiotic,Viral infections,"Diarrhea, Blurred vision, Nausea",130,Intramuscular,Diabetes,Do not discontinue abruptly,243.91,Al047LT,2028-05-23,Moderate,Approved
Serozole59,Novartis AG,1995,Antipsychotic,Fungal infections,"Rash, Nausea, Dizziness",80,Sublingual,Allergic reaction,Take with food,342.05,pI144RI,2026-03-31,Mild,Pending
Serocillin27,Moderna Therapeutics,2009,Vaccine,Pain relief,"Dry mouth, Dizziness, Constipation",550,Rectal,Diabetes,Do not discontinue abruptly,336.38,cw810Ze,2025-11-05,Mild,Approved
Loxovir11,AstraZeneca,2015,Antipsychotic,Pain relief,"Dizziness, Fatigue",830,Intramuscular,Pregnancy,May affect fertility,143.03,FQ876tN,2028-01-12,Severe,Approved
Viravir99,Pfizer Inc.,2005,Analgesic,Inflammation reduction,"Rash, Fatigue",310,Topical,Seizures,Use with caution in elderly,485.71,ol602lw,2025-09-05,Mild,Approved
Fenozepam91,Pfizer Inc.,1992,Antipyretic,Depression treatment,"Diarrhea, Insomnia, Headache",800,Intravenous,Asthma,Monitor blood pressure,293.3,th303IV,2027-08-28,Mild,Rejected
Amoxzepam33,Sanofi,1992,Vaccine,Bacterial infections,"Constipation, Dizziness, Dry mouth",820,Oral,Bleeding disorders,Avoid alcohol,242.52,lb711CZ,2028-05-05,Moderate,Pending
Amoxvir68,AstraZeneca,2008,Anti-inflammatory,Prevent infectious disease,Fatigue,240,Oral,Asthma,Take with food,446.45,Uz486EG,2028-01-17,Moderate,Pending
Amoxparin13,Moderna Therapeutics,2008,Vaccine,Inflammation reduction,"Headache, Diarrhea",520,Oral,Bleeding disorders,Take with food,20.19,DA056cp,2026-08-29,Mild,Approved
Daxovir24,Sanofi,1997,Antifungal,Psychosis control,Dry mouth,630,Oral,Pregnancy,Do not operate machinery,337.94,Ap915ad,2026-07-16,Mild,Approved
Rivaparin10,Pfizer Inc.,1994,Antihistamine,Viral infections,"Nausea, Fatigue",670,Topical,Diabetes,Avoid sunlight exposure,299.11,sy696HU,2028-07-29,Severe,Rejected
Mecostatin40,Merck & Co.,1999,Antidepressant,Allergy relief,Headache,770,Inhalation,Asthma,Do not discontinue abruptly,379.85,wR821xE,2026-12-23,Mild,Pending
Cefdipine99,Novartis AG,1996,Antihistamine,Bacterial infections,Blurred vision,10,Topical,Allergic reaction,Risk of addiction,156.78,Ui429mc,2028-06-29,Mild,Approved
Fenocillin39,Novartis AG,1994,Antibiotic,Viral infections,Rash,900,Intramuscular,High blood pressure,Monitor blood pressure,425.6,uO081eO,2028-06-08,Moderate,Approved
Daxoxetine11,Bayer AG,2011,Antipsychotic,Pain relief,"Rash, Constipation, Blurred vision",70,Intramuscular,Seizures,Take with food,377.24,tK255Jv,2028-02-23,Mild,Rejected
Fenostatin65,Novartis AG,2021,Anti-inflammatory,Allergy relief,Insomnia,90,Sublingual,Allergic reaction,Monitor blood pressure,4.9,PD059Zm,2027-06-27,Severe,Pending
Rivaxetine79,Sanofi,2010,Antibiotic,Bacterial infections,"Fatigue, Headache",930,Topical,Diabetes,Do not discontinue abruptly,12.18,PN330DB,2027-11-14,Mild,Rejected
Daxoxetine96,Merck & Co.,2010,Analgesic,Inflammation reduction,Insomnia,840,Oral,Allergic reaction,Risk of addiction,2.62,YQ536kZ,2026-02-10,Moderate,Approved
Rivazepam81,Sanofi,2022,Antibiotic,Fever reduction,"Dry mouth, Nausea",990,Rectal,Liver disease,Monitor blood pressure,378.38,VQ980SP,2025-08-07,Severe,Pending
Loxostatin46,Sanofi,2019,Antipsychotic,Prevent infectious disease,Dizziness,890,Topical,Kidney impairment,Monitor blood pressure,104.92,hG662OX,2025-09-15,Mild,Pending
