Draw,Date,1,2,3,4,5,6
4035,21/03/2020,10,19,26,27,31,33
4033,14/03/2020,8,13,27,40,41,42
4031,7/03/2020,3,7,28,33,34,40
4029,29/02/2020,3,12,29,30,31,38
4027,22/02/2020,8,11,15,16,23,29
4025,15/02/2020,3,4,11,21,24,39
4023,8/02/2020,17,19,24,36,38,44
4021,1/02/2020,1,10,17,24,29,33
4019,25/01/2020,10,17,19,24,36,38
4017,18/01/2020,3,10,12,24,34,35
4015,11/01/2020,11,17,18,20,37,41
4013,4/01/2020,11,16,33,38,40,42
4011,28/12/2019,1,13,19,31,37,39
4009,21/12/2019,18,23,28,30,35,37
4007,14/12/2019,1,9,31,34,39,40
4005,7/12/2019,1,13,16,25,30,32
4003,30/11/2019,10,16,20,22,30,38
4001,23/11/2019,7,14,25,30,37,45
3999,16/11/2019,11,22,28,31,32,34
3997,9/11/2019,1,10,25,27,28,36
3995,2/11/2019,1,2,10,12,21,42
3993,26/10/2019,2,7,28,29,31,45
3991,19/10/2019,18,21,26,39,41,43
3989,12/10/2019,6,8,16,17,27,33
3987,5/10/2019,4,12,20,33,34,36
3985,28/09/2019,4,11,18,20,22,41
3983,21/09/2019,14,29,32,33,40,43
3981,14/09/2019,7,20,27,38,39,41
3979,7/09/2019,1,8,10,14,23,36
3977,31/08/2019,7,14,15,17,36,41
3975,24/08/2019,4,9,10,11,32,33
3973,17/08/2019,6,19,23,24,28,35
3971,10/08/2019,1,6,9,37,38,39
3969,3/08/2019,3,5,28,32,38,44
3967,27/07/2019,11,13,23,27,35,38
3965,20/07/2019,2,8,12,18,30,42
3963,13/07/2019,5,16,18,22,36,41
3961,6/07/2019,15,18,23,30,41,44
3959,29/06/2019,5,14,21,33,35,42
3957,22/06/2019,5,10,11,12,29,41
3955,15/06/2019,8,18,24,39,41,42
3953,8/06/2019,1,22,24,36,39,42
3951,1/06/2019,6,9,20,25,27,31
3949,25/05/2019,1,11,18,29,35,44
3947,18/05/2019,2,6,8,36,39,45
3945,11/05/2019,17,27,28,32,34,44
3943,4/05/2019,7,8,23,24,27,33
3941,27/04/2019,1,16,21,26,39,41
3939,20/04/2019,9,14,16,18,20,36
3937,13/04/2019,16,18,19,21,22,25
3935,6/04/2019,4,8,10,12,38,39
3933,30/03/2019,5,8,26,27,31,33
3931,23/03/2019,9,29,32,33,37,39
3929,16/03/2019,1,8,12,15,31,42
3927,9/03/2019,16,17,21,27,29,43
3925,2/03/2019,5,10,38,39,40,43
3923,23/02/2019,13,19,20,21,25,37
3921,16/02/2019,18,19,26,27,38,43
3919,9/02/2019,9,11,13,16,17,21
3917,2/02/2019,1,5,12,21,24,45
3915,26/01/2019,8,18,19,36,38,42
3913,19/01/2019,8,10,11,15,26,45
3911,12/01/2019,5,11,15,23,35,45
3909,5/01/2019,3,18,20,24,26,34
3907,29/12/2018,2,9,17,30,33,39
3905,22/12/2018,5,9,14,29,41,43
3903,15/12/2018,23,28,32,33,35,39
3901,8/12/2018,2,6,23,25,26,43
3899,1/12/2018,5,24,25,27,31,38
3897,24/11/2018,7,10,20,24,29,37
3895,17/11/2018,6,18,19,26,30,31
3893,10/11/2018,1,21,22,23,38,44
3891,3/11/2018,3,5,12,14,35,36
3889,27/10/2018,9,13,16,17,32,37
3887,20/10/2018,5,14,15,38,42,45
3885,13/10/2018,3,6,10,34,37,40
3883,6/10/2018,1,2,7,22,34,40
3881,29/09/2018,2,9,10,13,16,25
3879,22/09/2018,9,21,26,29,32,44
3877,15/09/2018,1,3,7,15,44,45
3875,8/09/2018,19,22,24,25,42,43
3873,1/09/2018,5,10,14,16,36,43
3871,25/08/2018,5,15,18,29,31,35
3869,18/08/2018,6,17,19,26,37,38
3867,11/08/2018,1,8,15,20,23,44
3865,4/08/2018,12,14,24,25,35,38
3863,28/07/2018,21,27,29,31,37,40
3861,21/07/2018,2,4,14,15,16,24
3859,14/07/2018,6,11,12,32,40,45
3857,7/07/2018,1,6,18,23,29,43
3855,30/06/2018,1,14,20,25,26,40
3853,23/06/2018,9,10,18,31,35,41
3851,16/06/2018,2,8,12,22,26,45
3849,9/06/2018,7,10,22,25,26,36
3847,2/06/2018,7,14,17,19,24,37
3845,26/05/2018,10,21,25,29,38,40
3843,19/05/2018,6,9,21,33,39,42
3841,12/05/2018,6,12,14,17,31,38
3839,5/05/2018,10,22,28,34,42,45
3837,28/04/2018,13,29,33,35,38,43
3835,21/04/2018,11,12,17,31,42,44
3833,14/04/2018,7,9,10,17,18,38
3831,7/04/2018,6,7,8,17,23,35
3829,31/03/2018,8,15,23,27,43,44
3827,24/03/2018,10,19,23,30,33,39
3825,17/03/2018,26,32,33,35,38,41
3823,10/03/2018,2,4,22,31,34,44
3821,3/03/2018,2,21,29,35,36,45
3819,24/02/2018,1,5,14,15,19,30
3817,17/02/2018,3,8,13,30,31,35
3815,10/02/2018,2,7,16,23,27,44
3813,3/02/2018,11,12,13,23,24,27
3811,27/01/2018,1,4,7,11,32,40
3809,20/01/2018,2,5,9,14,31,34
3807,13/01/2018,1,6,16,19,36,45
3805,6/01/2018,3,12,31,32,35,44
3803,30/12/2017,6,9,27,30,35,37
3801,23/12/2017,8,11,13,21,23,34
3799,16/12/2017,1,5,26,28,39,45
3797,9/12/2017,14,17,28,30,34,36
3795,2/12/2017,8,14,16,23,25,44
3793,25/11/2017,4,6,18,31,36,44
3791,18/11/2017,6,19,26,28,40,42
3789,11/11/2017,18,19,27,30,38,43
3787,4/11/2017,4,7,17,22,26,30
3785,28/10/2017,1,13,17,38,40,44
3783,21/10/2017,13,22,30,34,42,45
3781,14/10/2017,6,13,18,25,34,39
3779,7/10/2017,7,13,15,18,31,34
3777,30/09/2017,1,19,20,22,32,34
3775,23/09/2017,6,8,13,40,44,45
3773,16/09/2017,5,10,20,29,41,45
3771,9/09/2017,12,21,28,35,40,42
3769,2/09/2017,16,17,21,22,23,44
3767,26/08/2017,11,15,20,27,38,45
3765,19/08/2017,3,9,23,30,39,45
3763,12/08/2017,7,11,14,16,26,45
3761,5/08/2017,1,7,11,20,21,32
3759,29/07/2017,28,30,31,34,42,43
3757,22/07/2017,11,22,27,32,42,44
3755,15/07/2017,1,11,22,25,41,44
3753,8/07/2017,11,18,22,24,26,33
3751,1/07/2017,6,10,18,19,32,36
3749,24/06/2017,1,5,13,29,32,43
3747,17/06/2017,5,19,25,30,33,34
3745,10/06/2017,12,14,20,22,24,44
3743,3/06/2017,9,21,27,30,32,35
3741,27/05/2017,15,17,18,24,42,45
3739,20/05/2017,6,10,11,15,29,33
3737,13/05/2017,1,16,21,30,35,40
3735,6/05/2017,8,9,16,26,39,41
3733,29/04/2017,3,10,23,29,34,37
3731,22/04/2017,11,13,18,21,24,30
3729,15/04/2017,3,15,26,32,40,44
3727,8/04/2017,3,7,25,27,32,38
3725,1/04/2017,16,20,24,32,34,37
3723,25/03/2017,16,20,23,28,35,39
3721,18/03/2017,1,10,15,23,36,43
3719,11/03/2017,1,10,15,31,36,39
3717,4/03/2017,9,12,15,18,28,34
3715,25/02/2017,7,22,29,33,36,44
3713,18/02/2017,21,25,28,30,33,37
3711,11/02/2017,3,18,41,42,43,45
3709,4/02/2017,4,16,22,34,36,38
3707,28/01/2017,6,10,19,28,37,40
3705,21/01/2017,14,17,30,37,41,43
3703,14/01/2017,9,12,21,22,30,41
3701,7/01/2017,7,19,20,22,40,41
3699,31/12/2016,4,11,16,18,31,40
3697,24/12/2016,4,5,9,24,34,39
3695,17/12/2016,8,17,18,29,36,42
3693,10/12/2016,5,20,25,33,34,36
3691,3/12/2016,10,11,18,26,39,44
3689,26/11/2016,18,19,27,29,38,45
3687,19/11/2016,1,12,14,16,24,40
3685,12/11/2016,1,3,12,18,22,38
3683,5/11/2016,9,23,24,34,38,43
3681,29/10/2016,15,20,23,33,39,42
3679,22/10/2016,16,22,35,37,39,42
3677,15/10/2016,2,8,21,22,31,40
3675,8/10/2016,2,3,6,21,26,38
3673,1/10/2016,6,14,22,26,35,37
3671,24/09/2016,11,12,18,25,34,45
3669,17/09/2016,3,8,9,12,18,27
3667,10/09/2016,5,7,9,13,18,27
3665,3/09/2016,7,23,28,32,36,40
3663,27/08/2016,4,5,13,18,25,34
3661,20/08/2016,8,16,23,34,42,45
3659,13/08/2016,11,14,16,37,41,45
3657,6/08/2016,6,12,15,19,23,31
3655,30/07/2016,27,32,33,37,40,45
3653,23/07/2016,4,7,10,15,22,32
3651,16/07/2016,1,3,7,12,24,32
3649,9/07/2016,13,17,21,25,33,38
3647,2/07/2016,5,12,16,20,31,41
3645,25/06/2016,4,7,10,17,28,31
3643,18/06/2016,1,2,13,20,39,44
3641,11/06/2016,4,10,25,32,39,45
3639,4/06/2016,3,12,26,27,38,43
3637,28/05/2016,1,21,34,35,37,42
3635,21/05/2016,5,11,13,14,37,39
3633,14/05/2016,4,10,13,21,33,34
3631,7/05/2016,1,3,14,24,31,35
3629,30/04/2016,2,20,22,24,27,30
3627,23/04/2016,3,10,27,32,34,36
3625,16/04/2016,1,3,11,29,36,42
3623,9/04/2016,3,6,18,21,23,41
3621,2/04/2016,7,11,12,23,29,36
3619,26/03/2016,5,9,17,24,32,43
3617,19/03/2016,8,10,16,24,28,31
3615,12/03/2016,1,3,8,16,28,37
3613,5/03/2016,2,11,20,26,39,45
3611,27/02/2016,3,5,18,21,22,38
3609,20/02/2016,5,17,22,26,30,42
3607,13/02/2016,2,8,25,27,28,43
3605,6/02/2016,4,26,33,39,40,43
3603,30/01/2016,5,20,25,28,29,45
3601,23/01/2016,20,24,33,41,44,45
3599,16/01/2016,1,3,11,13,22,24
3597,9/01/2016,2,18,20,25,30,36
3595,2/01/2016,3,10,31,40,44,45
3593,26/12/2015,5,9,25,34,35,36
3591,19/12/2015,3,6,11,24,33,34
3589,12/12/2015,6,7,8,11,31,40
3587,5/12/2015,15,18,28,32,40,42
3585,28/11/2015,1,9,17,18,24,34
3583,21/11/2015,6,9,10,11,35,37
3581,14/11/2015,6,10,21,28,37,42
3579,7/11/2015,4,6,17,31,38,39
3577,31/10/2015,10,14,19,20,27,37
3575,24/10/2015,1,15,18,29,37,40
3573,17/10/2015,2,7,10,13,23,24
3571,10/10/2015,1,5,7,8,15,39
3569,3/10/2015,3,6,7,21,22,43
3567,26/09/2015,5,12,13,17,22,26
3565,19/09/2015,4,5,16,29,32,44
3563,12/09/2015,16,17,21,29,38,42
3561,5/09/2015,5,13,27,31,37,42
3559,29/08/2015,11,18,26,27,37,39
3557,22/08/2015,4,13,18,27,30,36
3555,15/08/2015,6,12,23,26,28,36
3553,8/08/2015,1,13,24,28,29,33
3551,1/08/2015,6,10,15,16,17,29
3549,25/07/2015,7,8,13,20,23,32
3547,18/07/2015,3,11,13,29,38,42
3545,11/07/2015,14,23,24,28,41,45
3543,4/07/2015,8,15,25,30,31,44
3541,27/06/2015,15,17,29,30,32,39
3539,20/06/2015,8,10,22,27,39,44
3537,13/06/2015,8,20,36,38,43,45
3535,6/06/2015,15,29,31,32,33,39
3533,30/05/2015,16,20,23,36,38,43
3531,23/05/2015,1,2,31,38,39,45
3529,16/05/2015,10,15,16,26,30,45
3527,9/05/2015,4,13,27,29,31,32
3525,2/05/2015,6,15,18,23,35,43
3523,25/04/2015,5,7,12,20,29,42
3521,18/04/2015,4,14,16,18,26,27
3519,11/04/2015,3,7,13,21,24,30
3517,4/04/2015,1,24,34,40,44,45
3515,28/03/2015,13,16,17,18,25,29
3513,21/03/2015,2,11,12,16,24,39
3511,14/03/2015,7,9,17,26,42,43
3509,7/03/2015,3,6,24,40,41,44
3507,28/02/2015,1,11,14,33,37,45
3505,21/02/2015,5,10,11,24,39,41
3503,14/02/2015,16,22,24,35,37,42
3501,7/02/2015,9,19,30,33,41,44
3499,31/01/2015,9,15,19,26,33,36
3497,24/01/2015,10,12,30,34,42,44
3495,17/01/2015,1,10,16,30,33,41
3493,10/01/2015,4,19,24,25,27,34
3491,3/01/2015,18,21,35,38,39,43
3489,27/12/2014,7,16,20,33,39,43
3487,20/12/2014,6,8,9,19,21,41
3485,13/12/2014,6,11,16,17,21,44
3483,6/12/2014,1,5,13,36,38,39
3481,29/11/2014,18,28,31,36,41,42
3479,22/11/2014,1,5,14,23,31,42
3477,15/11/2014,4,9,13,37,42,43
3475,8/11/2014,16,19,20,22,27,35
3473,1/11/2014,9,15,21,24,30,42
3471,25/10/2014,11,12,17,36,38,44
3469,18/10/2014,5,7,8,9,27,34
3467,11/10/2014,3,11,13,21,42,44
3465,4/10/2014,6,20,22,29,32,44
3463,27/09/2014,1,6,16,20,25,36
3461,20/09/2014,1,12,22,27,38,40
3459,13/09/2014,1,5,10,14,29,33
3457,6/09/2014,4,10,17,27,34,43
3455,30/08/2014,2,14,24,37,40,44
3453,23/08/2014,11,29,30,40,41,43
3451,16/08/2014,2,3,15,16,18,24
3449,9/08/2014,23,26,27,30,31,41
3447,2/08/2014,7,10,12,26,30,36
3445,26/07/2014,5,7,12,28,40,45
3443,19/07/2014,4,8,13,27,28,42
3441,12/07/2014,1,3,15,19,42,44
3439,5/07/2014,5,7,14,20,31,39
3437,28/06/2014,1,17,20,40,42,44
3435,21/06/2014,1,12,28,31,32,34
3433,14/06/2014,11,13,16,19,27,35
3431,7/06/2014,1,19,20,36,38,41
3429,31/05/2014,1,13,20,26,37,45
3427,24/05/2014,11,13,28,37,43,45
3425,17/05/2014,8,9,22,25,36,42
3423,10/05/2014,10,13,16,22,39,45
3421,3/05/2014,1,12,14,19,37,41
3419,26/04/2014,12,20,24,32,39,45
3417,19/04/2014,3,7,17,23,25,26
3415,12/04/2014,13,18,20,21,28,45
3413,5/04/2014,1,22,24,29,36,39
3411,29/03/2014,10,21,22,26,29,41
3409,22/03/2014,4,12,18,19,29,33
3407,15/03/2014,13,33,36,38,39,43
3405,8/03/2014,3,19,27,38,40,42
3403,1/03/2014,4,13,33,35,39,45
3401,22/02/2014,8,12,15,25,26,45
3399,15/02/2014,6,27,28,32,39,40
3397,8/02/2014,6,15,17,21,22,42
3395,1/02/2014,11,16,32,40,41,45
3393,25/01/2014,30,35,36,37,42,43
3391,18/01/2014,1,9,10,13,27,39
3389,11/01/2014,7,14,23,27,38,40
3387,4/01/2014,5,6,10,28,32,40
3385,28/12/2013,17,22,24,25,26,40
3383,21/12/2013,1,3,10,17,20,35
3381,14/12/2013,4,9,14,22,42,45
3379,7/12/2013,3,7,28,31,38,41
3377,30/11/2013,24,27,30,37,43,45
3375,23/11/2013,5,7,20,30,31,39
3373,16/11/2013,5,8,15,32,36,39
3371,9/11/2013,2,16,20,27,28,32
3369,2/11/2013,2,5,23,32,40,43
3367,26/10/2013,9,13,16,21,33,44
3365,19/10/2013,5,20,27,31,37,42
3363,12/10/2013,3,9,33,34,39,41
3361,5/10/2013,6,8,11,21,27,31
3359,28/09/2013,1,13,21,27,34,37
3357,21/09/2013,1,2,5,16,19,42
3355,14/09/2013,3,11,20,28,34,40
3353,7/09/2013,1,11,12,15,25,36
3351,31/08/2013,15,18,26,28,39,41
3349,24/08/2013,12,15,16,37,42,45
3347,17/08/2013,5,27,33,35,42,45
3345,10/08/2013,8,18,21,23,27,37
3343,3/08/2013,1,14,24,26,30,37
3341,27/07/2013,6,25,27,29,38,41
3339,20/07/2013,1,3,9,12,22,29
3337,13/07/2013,5,9,14,27,37,40
3335,6/07/2013,3,8,19,26,29,43
